joined,left,difference
1898-01-15,1898-02-02,18
1898-01-15,1898-04-12,87
1898-01-15,1898-04-12,87
1898-01-15,1898-04-12,87
1898-01-15,1898-04-12,87
1898-01-15,1898-04-12,87
1898-01-15,1898-04-12,87
1898-01-15,1898-04-12,87
1898-01-15,1898-04-12,87
1898-01-15,1898-04-12,87
1898-01-15,1898-04-12,87
1898-01-15,1898-04-12,87
1898-02-21,1898-04-12,50
1898-01-15,1898-04-12,87
1898-01-15,1898-04-12,87
1898-04-13,1898-08-05,114
1898-02-21,1898-04-12,50
1898-04-13,1898-08-05,114
1898-04-13,1898-08-05,114
1898-04-13,1898-08-05,114
1898-02-21,1898-04-12,50
1898-04-13,1898-08-05,114
1898-04-13,1898-07-25,103
1898-04-13,1898-08-05,114
1898-04-13,1898-08-05,114
1898-04-13,1898-08-05,114
1898-04-13,1898-08-05,114
1898-04-19,1898-04-21,2
1898-04-13,1898-08-05,114
1898-04-13,1898-08-05,114
1898-04-13,1898-08-05,114
1898-04-13,1898-08-05,114
1898-04-13,1898-08-05,114
1898-04-13,1898-04-13,0
1898-04-13,1898-08-05,114
1898-04-13,1898-08-05,114
1898-04-13,1898-08-05,114
1898-04-19,1898-08-05,108
1898-04-13,1898-08-05,114
1898-04-13,1898-07-29,107
1898-04-19,1898-08-05,108
1898-08-12,1898-11-22,102
1898-08-12,1898-11-22,102
1898-05-05,1898-07-25,81
1898-05-05,1898-07-25,81
1898-08-12,1898-11-22,102
1898-04-19,1898-08-05,108
1898-08-12,1898-11-22,102
1898-08-12,1898-11-22,102
1898-08-12,1898-11-22,102
1898-08-12,1898-11-22,102
1898-08-12,1898-11-22,102
1898-08-12,1898-11-22,102
1898-08-12,1898-11-22,102
1898-08-12,1898-11-22,102
1898-08-12,1898-11-22,102
1898-08-12,1898-11-22,102
1898-08-12,1898-11-22,102
1898-08-12,1898-11-22,102
1898-08-12,1898-11-22,102
1898-08-12,1898-11-22,102
1898-08-12,1898-11-22,102
1898-08-12,1898-11-22,102
1898-08-12,1898-11-22,102
1898-08-12,1898-11-22,102
1898-08-12,1898-11-22,102
1898-11-23,1899-02-07,76
1898-08-12,1898-11-22,102
1898-08-12,1898-11-22,102
1898-11-23,1899-02-07,76
1898-11-23,1899-02-07,76
1898-11-23,1899-02-07,76
1898-11-23,1899-02-07,76
1898-11-23,1899-02-07,76
1898-11-23,1899-02-07,76
1898-11-23,1899-02-06,75
1898-11-23,1899-02-07,76
1898-11-23,1899-02-07,76
1898-11-23,1899-02-07,76
1898-11-23,1899-02-04,73
1898-11-23,1899-02-04,73
1898-11-23,1899-02-04,73
1898-11-23,1899-02-07,76
1898-11-23,1899-02-07,76
1898-11-23,1899-02-07,76
1898-11-23,1899-02-07,76
1898-11-23,1899-02-07,76
1898-11-23,1899-02-07,76
1898-11-23,1899-02-07,76
1898-11-23,1899-02-07,76
1898-11-23,1899-02-07,76
1899-02-07,1899-06-29,142
1899-02-07,1899-03-01,22
1899-01-03,1899-02-07,35
1899-02-07,1899-06-29,142
1898-12-31,1899-02-07,38
1899-02-07,1899-06-29,142
1899-02-07,1899-06-29,142
1899-02-07,1899-06-29,142
1899-02-07,1899-06-29,142
1899-02-07,1899-06-29,142
1899-02-07,1899-06-29,142
1899-02-07,1899-06-29,142
1899-02-07,1899-06-29,142
1899-02-07,1899-06-29,142
1899-02-07,1899-06-29,142
1899-02-07,1899-02-22,15
1899-02-07,1899-06-22,135
1899-02-07,1899-06-29,142
1899-02-07,1899-06-29,142
1899-02-07,1899-06-29,142
1899-02-07,1899-06-29,142
1899-02-07,1899-06-29,142
1899-02-07,1899-06-29,142
1899-07-06,1899-09-19,75
1899-03-11,1899-06-29,110
1899-03-11,1899-05-15,65
1899-03-11,1899-06-29,110
1899-07-06,1899-09-19,75
1899-07-06,1899-09-19,75
1899-03-11,1899-06-29,110
1899-07-07,1899-09-19,74
1899-07-06,1899-09-19,75
1899-07-06,1899-09-19,75
1899-07-06,1899-09-19,75
1899-07-06,1899-09-19,75
1899-07-06,1899-09-19,75
1899-07-06,1899-09-19,75
1899-07-06,1899-09-19,75
1899-07-06,1899-09-19,75
1899-07-06,1899-09-19,75
1899-07-06,1899-09-19,75
1899-07-06,1899-09-19,75
1899-07-06,1899-09-19,75
1899-07-06,1899-09-19,75
1899-07-06,1899-09-19,75
1899-07-06,1899-09-19,75
1899-07-06,1899-08-28,53
1899-07-06,1899-09-19,75
1899-07-06,1899-09-19,75
1899-09-22,1899-12-18,87
1899-09-22,1899-12-18,87
1899-09-22,1899-12-18,87
1899-09-22,1899-09-30,8
1899-09-22,1899-10-02,10
1899-07-06,1899-09-19,75
1899-08-29,1899-09-19,21
1899-09-22,1899-10-02,10
1899-09-22,1899-12-18,87
1899-09-22,1899-12-18,87
1899-09-22,1899-10-03,11
1899-09-22,1899-12-18,87
1899-09-22,1899-12-18,87
1899-09-22,1899-10-02,10
1899-09-22,1899-12-18,87
1899-09-22,1899-09-30,8
1899-09-22,1899-12-18,87
1899-09-22,1899-12-18,87
1899-09-22,1899-10-02,10
1899-10-03,1899-10-02,1
1899-09-22,1899-12-18,87
1899-09-22,1899-11-19,58
1899-09-22,1899-11-20,59
1899-09-22,1899-12-18,87
1899-09-22,1899-10-18,26
1899-09-22,1899-12-18,87
1899-10-03,1899-12-18,76
1899-10-03,1899-12-18,76
1899-10-03,1899-12-18,76
1899-10-03,1899-12-18,76
1899-10-03,1899-12-18,76
1899-10-03,1899-11-19,47
1899-10-24,1899-11-29,36
1899-10-24,1899-12-18,55
1899-12-23,1899-12-25,2
1899-12-23,1899-12-25,2
1899-12-23,1899-12-25,2
1899-12-23,1899-12-25,2
1899-12-23,1899-12-25,2
1899-12-23,1899-12-25,2
1899-12-23,1899-12-25,2
1899-12-23,1899-12-25,2
1899-12-23,1899-12-25,2
1899-12-23,1899-12-25,2
1899-12-23,1899-12-25,2
1899-12-23,1899-12-25,2
1899-12-23,1899-12-25,2
1899-12-23,1899-12-25,2
1899-12-23,1899-12-25,2
1900-12-09,1901-02-22,75
1900-12-08,1901-02-22,76
1900-12-07,1901-02-22,77
1900-12-09,1901-02-22,75
1900-12-08,1901-02-22,76
1900-12-08,1901-02-22,76
1900-12-08,1901-02-22,76
1900-12-08,1901-02-22,76
1900-12-07,1901-02-22,77
1900-12-08,1901-02-22,76
1900-12-08,1901-02-22,76
1900-12-08,1901-02-22,76
1900-12-07,1901-02-22,77
1900-12-08,1901-02-22,76
1900-12-08,1901-02-22,76
1900-12-08,1901-02-22,76
1900-12-07,1901-02-22,77
1900-12-08,1901-02-22,76
1900-12-08,1901-02-22,76
1900-12-08,1901-02-22,76
1900-12-08,1901-02-22,76
1900-12-08,1901-02-22,76
1900-12-08,1901-02-22,76
1900-12-08,1901-02-22,76
1901-03-02,1901-03-09,7
1901-03-02,1901-03-09,7
1901-03-02,1901-03-09,7
1901-03-02,1901-03-09,7
1901-03-02,1901-03-09,7
1901-03-02,1901-03-09,7
1901-03-02,1901-03-09,7
1901-03-02,1901-03-09,7
1901-03-02,1901-03-09,7
1901-03-02,1901-03-09,7
1901-03-02,1901-03-09,7
1901-03-02,1901-03-09,7
1901-03-02,1901-03-09,7
1901-03-02,1901-03-09,7
1901-03-02,1901-03-09,7
1901-03-02,1901-03-09,7
1901-03-02,1901-03-09,7
1901-03-02,1901-03-09,7
1901-03-02,1901-03-09,7
1901-03-12,1901-05-17,66
1901-03-12,1901-05-17,66
1901-03-02,1901-03-09,7
1901-03-12,1901-05-17,66
1901-03-12,1901-05-17,66
1901-03-12,1901-05-17,66
1901-03-12,1901-05-17,66
1901-03-02,1901-03-09,7
1901-03-12,1901-05-17,66
1901-03-12,1901-05-17,66
1901-03-12,1901-05-17,66
1901-03-12,1901-03-12,0
1901-03-12,1901-05-17,66
1901-03-12,1901-05-17,66
1901-03-12,1901-04-02,21
1901-03-12,1901-05-17,66
1901-03-12,1901-05-17,66
1901-03-12,1901-05-17,66
1901-03-12,1901-03-14,2
1901-03-12,1901-05-17,66
1901-03-12,1901-05-17,66
1901-03-12,1901-03-14,2
1901-03-12,1901-05-17,66
1901-03-12,1901-05-17,66
1901-03-12,1901-05-17,66
1901-03-12,1901-03-14,2
1901-03-14,1901-05-17,64
1901-03-14,1901-05-17,64
1901-05-20,1901-05-21,1
1901-03-12,1901-05-17,66
1901-03-14,1901-05-17,64
1901-05-20,1901-09-15,118
1901-05-20,1901-09-15,118
1901-05-20,1901-09-15,118
1901-05-20,1901-09-15,118
1901-05-20,1901-09-15,118
1901-05-20,1901-09-15,118
1901-05-20,1901-09-15,118
1901-05-20,1901-09-15,118
1901-05-20,1901-09-15,118
1901-05-20,1901-09-15,118
1901-05-20,1901-09-15,118
1901-05-20,1901-09-15,118
1901-05-20,1901-09-15,118
1901-05-20,1901-09-15,118
1901-05-20,1901-06-22,33
1901-05-20,1901-09-15,118
1901-05-20,1901-09-15,118
1901-05-20,1901-09-15,118
1901-05-20,1901-09-15,118
1901-05-20,1901-09-15,118
1901-05-20,1901-09-15,118
1901-05-20,1901-09-15,118
1901-05-22,1901-09-15,116
1882-04-11,1882-07-19,99
1882-04-11,1882-07-19,99
1901-06-22,1901-07-23,31
1901-09-15,1901-09-15,0
1901-08-08,1901-09-07,30
1882-04-11,1882-07-19,99
1882-04-11,1882-07-19,99
1882-04-11,1882-07-19,99
1882-04-11,1881-07-19,266
1882-04-11,1882-06-15,65
1882-04-11,1882-07-19,99
1882-04-11,1882-07-19,99
1882-04-11,1882-07-19,99
1882-04-11,1882-05-10,29
1882-04-11,1882-05-08,27
1882-06-23,1882-07-19,26
1882-04-11,1882-07-19,99
1882-04-11,1882-05-10,29
1882-06-23,1882-07-19,26
1882-05-10,1882-07-19,70
1882-06-23,1882-07-19,26
1882-05-20,1882-05-23,3
1882-05-20,1882-06-13,24
1882-05-20,1882-06-13,24
1882-07-20,1882-10-19,91
1882-07-20,1882-12-12,145
1882-07-20,1882-10-19,91
1882-07-20,1882-10-19,91
1882-07-20,1883-01-19,183
1882-07-21,1883-01-19,182
1882-07-25,1882-08-08,14
1882-07-21,1882-09-06,47
1882-07-22,1882-09-14,54
1882-08-08,1882-09-06,29
1882-07-20,1882-09-07,49
1882-07-21,1882-08-04,14
1882-08-08,1882-09-14,37
1882-08-08,1882-09-02,25
1882-08-08,1882-09-14,37
1882-10-20,1882-12-12,53
1882-10-20,1882-12-12,53
1882-09-19,1882-11-23,65
1882-09-09,1882-10-18,39
1882-09-19,1882-12-12,84
1882-09-09,1882-12-12,94
1882-09-19,1882-12-12,84
1882-09-19,1883-01-19,122
1882-09-09,1882-12-12,94
1882-12-13,1883-01-20,38
1882-11-27,1883-01-20,54
1882-10-20,1882-12-12,53
1882-12-13,1883-01-20,38
1882-12-13,1883-01-20,38
1882-12-13,1883-01-15,33
1882-12-13,1883-01-15,33
1882-10-20,1882-11-27,38
1882-12-13,1883-01-20,38
1882-12-13,1883-01-20,38
1882-12-13,1883-01-20,38
1883-01-28,1883-05-02,94
1882-12-15,1883-01-15,31
1883-01-28,1883-05-02,94
1883-01-28,1883-05-02,94
1883-01-28,1883-05-02,94
1882-12-13,1883-01-20,38
1882-12-13,1883-01-20,38
1883-01-28,1883-05-02,94
1883-01-28,1883-02-05,8
1883-01-28,1883-02-06,9
1883-01-28,1883-05-02,94
1883-01-28,1883-05-02,94
1883-01-28,1883-02-06,9
1883-01-28,1883-05-02,94
1883-02-07,1883-05-02,84
1883-02-07,1883-03-27,48
1883-02-06,1883-03-28,50
1883-01-28,1883-05-02,94
1883-02-06,1883-03-28,50
1883-02-07,1883-05-23,105
1883-02-06,1883-03-23,45
1883-02-07,1883-05-23,105
1883-01-23,1883-05-02,99
1883-01-23,1883-02-06,14
1883-04-05,1883-05-02,27
1883-04-05,1883-05-02,27
1883-04-05,1883-05-02,27
1883-05-09,1883-08-30,113
1883-05-09,1883-08-30,113
1883-05-10,1883-08-30,112
1883-05-09,1883-08-30,113
1883-04-05,1883-05-02,27
1883-05-10,1883-08-30,112
1883-05-09,1883-08-30,113
1883-05-10,1883-08-30,112
1883-05-09,1883-08-30,113
1883-05-09,1883-08-30,113
1883-05-09,1883-08-30,113
1883-05-09,1883-08-30,113
1883-05-09,1883-08-30,113
1883-05-09,1883-08-30,113
1883-05-09,1883-08-30,113
1883-05-11,1883-08-30,111
1883-05-09,1883-08-30,113
1883-05-10,1883-08-30,112
1883-05-09,1883-08-30,113
1883-05-09,1883-08-30,113
1883-05-09,1883-08-30,113
1883-09-10,1883-12-01,82
1883-09-10,1883-10-09,29
1883-09-10,1883-12-01,82
1883-09-10,1883-12-01,82
1883-09-10,1883-12-01,82
1883-09-10,1883-12-01,82
1883-09-10,1883-11-21,72
1883-09-10,1883-11-20,71
1883-09-10,1883-12-01,82
1883-09-10,1883-12-01,82
1883-09-10,1883-12-01,82
1883-09-11,1883-11-22,72
1883-09-11,1883-11-22,72
1883-09-13,1883-12-01,79
1883-09-10,1883-11-21,72
1883-09-10,1883-09-11,1
1883-09-10,1883-11-21,72
1883-12-06,1884-02-09,65
1883-12-06,1884-02-09,65
1883-11-24,1884-02-09,77
1883-12-06,1884-02-09,65
1883-11-24,1884-02-09,77
1883-12-06,1884-02-09,65
1883-12-06,1884-02-09,65
1883-12-07,1884-02-09,64
1883-12-06,1884-02-09,65
1883-12-06,1884-02-09,65
1883-12-06,1884-02-09,65
1883-12-06,1884-02-09,65
1883-12-06,1884-02-09,65
1883-11-24,1884-02-09,77
1883-11-24,1884-02-09,77
1883-11-24,1884-02-09,77
1883-12-06,1884-02-09,65
1884-02-22,1884-05-07,75
1884-02-22,1884-05-13,81
1884-02-22,1884-05-13,81
1884-02-22,1884-05-13,81
1884-02-22,1884-05-13,81
1884-02-22,1884-05-13,81
1884-02-22,1884-05-13,81
1884-02-22,1884-05-13,81
1884-02-22,1884-05-13,81
1884-02-22,1884-05-13,81
1884-02-22,1884-05-13,81
1884-02-22,1884-05-13,81
1884-02-27,1884-05-13,76
1884-02-27,1884-05-13,76
1884-02-27,1884-05-13,76
1884-05-15,1884-08-14,91
1884-05-15,1884-08-14,91
1884-05-15,1884-08-14,91
1884-05-15,1884-08-14,91
1884-05-15,1884-08-14,91
1884-05-15,1884-08-14,91
1884-05-15,1884-08-14,91
1884-05-15,1884-08-14,91
1884-05-16,1884-08-14,90
1884-05-17,1884-08-14,89
1884-05-15,1884-08-14,91
1884-05-16,1884-08-15,91
1884-05-16,1884-08-14,90
1884-05-15,1884-08-07,84
1884-05-16,1884-08-14,90
1884-09-11,1884-11-27,77
1884-09-11,1884-11-27,77
1884-09-11,1884-11-27,77
1884-09-11,1884-11-27,77
1884-09-11,1884-11-27,77
1884-09-11,1884-11-27,77
1884-09-11,1884-11-27,77
1884-09-11,1884-11-27,77
1884-09-11,1884-11-27,77
1884-09-11,1884-11-27,77
1884-09-11,1884-11-27,77
1884-09-11,1884-11-27,77
1884-09-11,1884-11-27,77
1884-09-11,1884-11-27,77
1884-09-11,1884-11-27,77
1885-11-03,1886-06-01,210
1885-11-03,1886-06-01,210
1885-11-02,1885-12-14,42
1885-11-02,1885-12-14,42
1885-11-02,1886-06-01,211
1885-11-02,1885-11-02,0
1885-11-03,1886-06-01,210
1885-11-03,1885-12-14,41
1885-11-04,1885-12-14,40
1885-11-03,1886-06-01,210
1885-11-03,1885-12-14,41
1885-11-03,1885-12-14,41
1885-11-04,1885-12-14,40
1885-11-04,1885-12-14,40
1885-11-03,1885-12-14,41
1885-12-15,1886-02-15,62
1885-12-15,1886-02-15,62
1885-12-15,1886-06-01,168
1885-12-16,1886-01-30,45
1885-12-16,1886-06-01,167
1886-01-31,1886-06-01,121
1886-01-30,1886-06-01,122
1886-02-15,1886-06-01,106
1886-02-15,1886-06-01,106
1885-12-22,1886-06-01,161
1885-12-22,1886-06-01,161
1885-12-22,1886-06-01,161
1886-02-15,1886-06-01,106
1885-12-22,1886-02-15,55
1886-06-09,1886-08-08,60
1886-06-09,1886-08-08,60
1886-06-09,1886-08-08,60
1886-06-09,1886-08-09,61
1886-06-09,1886-08-09,61
1886-06-09,1886-08-09,61
1886-06-09,1886-08-08,60
1886-06-09,1886-08-09,61
1886-06-09,1886-08-09,61
1886-06-09,1886-08-08,60
1886-06-09,1886-08-09,61
1886-06-09,1886-08-08,60
1886-06-09,1886-08-08,60
1886-06-09,1886-08-08,60
1886-08-13,1887-01-05,145
1886-08-13,1887-08-28,380
1886-08-13,1887-01-05,145
1886-08-14,1886-11-16,94
1886-08-13,1887-01-05,145
1886-08-13,1887-01-05,145
1886-08-14,1887-01-05,144
1886-08-13,1887-01-05,145
1886-08-13,1887-01-05,145
1886-08-13,1887-01-05,145
1886-08-13,1887-01-05,145
1886-08-13,1887-01-05,145
1886-08-13,1887-01-05,145
1887-01-22,1887-08-23,213
1886-08-13,1887-01-05,145
1887-01-22,1887-08-23,213
1887-01-22,1887-08-23,213
1887-01-22,1887-08-23,213
1887-01-22,1887-08-23,213
1887-01-22,1887-08-23,213
1887-01-22,1887-08-23,213
1887-01-22,1887-08-23,213
1887-01-22,1887-08-23,213
1887-01-22,1887-07-08,167
1887-01-22,1887-07-07,166
1887-01-22,1887-07-07,166
1887-01-22,1887-04-04,72
1887-4-07,1887-08-23,138
1887-07-11,1887-08-23,43
1887-01-22,1887-04-04,72
1887-04-07,1887-05-02,25
1887-07-08,1887-08-23,46
1887-05-10,1887-08-23,105
1887-07-08,1887-08-23,46
1887-07-12,1887-08-23,42
1887-01-08,1887-01-10,2
1887-01-08,1887-01-10,2
1887-01-08,1887-01-10,2
1887-01-08,1887-01-10,2
1887-01-08,1887-01-10,2
1887-01-08,1887-01-10,2
1887-01-08,1887-01-10,2
1887-01-08,1887-01-10,2
1887-01-08,1887-01-10,2
1887-01-08,1887-01-10,2
1887-01-08,1887-01-10,2
1888-10-24,1889-01-02,70
1888-10-24,1889-01-02,70
1888-10-25,1889-01-02,69
1887-01-08,1887-01-10,2
1888-10-24,1889-01-02,70
1888-10-25,1889-01-02,69
1888-10-25,1889-01-02,69
1888-10-25,1889-01-02,69
1888-10-25,1889-01-02,69
1888-10-25,1889-01-02,69
1888-10-24,1889-01-02,70
1888-10-24,1889-01-02,70
1888-10-25,1889-01-02,69
1888-10-24,1889-01-02,70
1888-10-24,1889-01-02,70
1888-10-24,1889-01-02,70
1888-10-24,1889-01-02,70
1888-10-24,1889-01-02,70
1888-10-24,1889-01-02,70
1888-10-25,1889-01-02,69
1888-10-25,1889-01-02,69
1888-10-25,1889-01-02,69
1888-10-25,1889-01-02,69
1889-01-03,1889-03-28,84
1889-01-03,1889-03-28,84
1889-01-04,1889-03-28,83
1888-10-26,1889-01-02,68
1889-01-03,1889-03-28,84
1889-01-03,1889-03-28,84
1889-01-05,1889-03-28,82
1889-01-03,1889-03-28,84
1889-01-03,1889-03-28,84
1889-01-03,1889-03-28,84
1889-01-03,1889-03-28,84
1889-01-03,1889-03-28,84
1889-01-03,1889-03-28,84
1889-01-04,1889-03-28,83
1889-01-03,1889-03-28,84
1889-01-03,1889-03-28,84
1889-01-03,1889-03-28,84
1889-01-03,1889-03-28,84
1889-04-03,1889-05-04,31
1889-01-03,1889-03-28,84
1889-01-08,1889-03-28,79
1889-01-08,1889-03-28,79
1889-01-08,1889-03-28,79
1889-01-03,1889-03-28,84
1889-04-03,1889-05-04,31
1889-04-03,1889-05-21,48
1889-04-03,1889-05-04,31
1889-04-03,1889-05-04,31
1889-04-03,1889-05-21,48
1889-04-03,1889-05-21,48
1889-04-03,1889-05-21,48
1889-04-03,1889-05-21,48
1889-04-03,1889-05-04,31
1889-04-03,1889-05-04,31
1889-04-04,1889-05-21,47
1889-04-03,1889-05-20,47
1889-04-03,1889-05-21,48
1889-04-03,1889-05-21,48
1889-04-03,1889-05-21,48
1889-04-03,1889-05-21,48
1889-04-03,1889-05-21,48
1889-04-03,1889-05-21,48
1889-04-03,1889-05-21,48
1889-05-27,1889-09-27,123
1889-05-27,1889-09-27,123
1889-04-03,1889-05-21,48
1889-05-27,1889-09-27,123
1889-05-27,1889-09-27,123
1889-05-27,1889-09-27,123
1889-05-27,1889-09-27,123
1889-05-27,1889-09-27,123
1889-05-27,1889-09-27,123
1889-05-27,1889-09-27,123
1889-05-27,1889-09-27,123
1889-05-27,1889-09-27,123
1889-05-27,1889-09-27,123
1889-05-27,1889-09-27,123
1889-05-27,1889-09-27,123
1889-05-27,1889-09-27,123
1889-05-27,1889-09-27,123
1889-05-27,1889-09-27,123
1889-09-28,1889-12-03,66
1889-05-27,1889-09-27,123
1889-09-28,1889-12-03,66
1889-05-27,1889-09-27,123
1889-05-27,1889-09-27,123
1889-05-27,1889-09-27,123
1889-09-30,1889-12-03,64
1889-09-28,1889-12-03,66
1889-09-28,1889-12-03,66
1889-09-28,1889-12-03,66
1889-09-28,1889-12-03,66
1889-09-30,1889-12-03,64
1889-09-28,1889-12-03,66
1889-09-28,1889-12-03,66
1889-09-28,1889-12-03,66
1889-09-28,1889-12-03,66
1889-09-28,1889-12-03,66
1889-09-30,1889-12-03,64
1889-09-28,1889-12-03,66
1889-09-28,1889-12-03,66
1889-09-28,1889-12-03,66
1889-09-28,1889-12-03,66
1889-09-28,1889-12-03,66
1889-12-03,1890-03-18,105
1889-09-30,1889-12-03,64
1889-12-05,1890-03-18,103
1889-12-03,1890-03-18,105
1889-12-03,1890-03-18,105
1889-12-03,1890-03-18,105
1889-12-03,1890-03-18,105
1889-12-03,1890-03-18,105
1889-12-03,1890-03-18,105
1889-12-03,1890-03-18,105
1889-12-03,1890-03-18,105
1889-12-05,1890-03-18,103
1889-12-05,1890-03-18,103
1889-12-05,1890-03-18,103
1889-12-05,1890-03-10,95
1889-12-05,1890-03-18,103
1889-12-03,1890-03-18,105
1890-01-25,1890-03-18,52
1889-12-03,1890-03-18,105
1889-12-05,1890-03-18,103
1889-12-05,1890-01-19,45
1889-12-03,1890-01-11,39
1890-01-07,1890-03-18,70
1890-01-07,1890-03-18,70
1889-12-05,1890-01-11,37
1890-03-24,1890-05-24,61
1890-03-24,1890-05-24,61
1890-03-22,1890-05-24,63
1890-03-24,1890-04-23,30
1890-03-24,1890-04-23,30
1890-03-24,1890-03-24,0
1890-03-24,1890-05-24,61
1890-03-24,1890-05-24,61
1890-03-24,1890-05-23,60
1890-03-24,1890-05-24,61
1890-03-24,1890-04-23,30
1890-03-24,1890-05-24,61
1890-03-24,1890-05-24,61
1890-03-22,1890-05-24,63
1890-03-24,1890-05-24,61
1890-03-24,1890-05-24,61
1890-03-24,1890-05-24,61
1890-03-24,1890-05-24,61
1890-03-26,1890-04-25,30
1890-03-26,1890-05-24,59
1890-03-26,1890-05-24,59
1890-03-26,1890-04-23,28
1890-05-31,1890-09-15,107
1890-04-26,1890-05-24,28
1890-05-31,1890-09-15,107
1890-04-26,1890-05-24,28
1890-04-26,1890-05-19,23
1890-04-26,1890-05-24,28
1890-04-26,1890-05-24,28
1890-05-31,1890-09-15,107
1890-05-31,1890-09-15,107
1890-05-31,1890-09-15,107
1890-05-31,1890-09-15,107
1890-05-31,1890-09-15,107
1890-05-31,1890-09-15,107
1890-05-31,1890-09-15,107
1890-05-31,1890-09-15,107
1890-06-02,1890-09-15,105
1890-05-31,1890-09-15,107
1890-05-31,1890-09-13,105
1890-05-31,1890-09-15,107
1890-05-31,1890-09-15,107
1890-05-31,1890-09-15,107
1890-05-31,1890-09-15,107
1890-05-31,1890-09-15,107
1890-05-31,1890-09-15,107
1890-05-31,1890-09-15,107
1890-05-31,1890-08-11,72
1890-09-29,1891-03-11,163
1890-09-26,1891-03-11,166
1890-09-26,1891-03-11,166
1890-09-26,1891-03-11,166
1890-09-26,1891-03-11,166
1890-09-26,1891-03-11,166
1890-05-31,1890-09-13,105
1890-09-26,1891-03-11,166
1890-09-26,1891-03-11,166
1890-09-26,1891-03-11,166
1890-09-26,1891-03-11,166
1890-09-26,1891-03-11,166
1890-09-26,1891-03-11,166
1890-09-26,1891-03-11,166
1890-09-26,1891-03-11,166
1890-09-29,1891-03-11,163
1890-09-26,1891-03-11,166
1890-09-26,1891-03-11,166
1890-09-26,1891-03-11,166
1890-09-26,1891-03-11,166
1891-03-18,1891-08-15,150
1891-03-18,1891-08-25,160
1890-09-26,1891-03-11,166
1890-09-26,1891-03-11,166
1890-09-26,1891-03-11,166
1891-03-18,1891-08-25,160
1891-03-18,1891-04-14,27
1891-03-18,1891-04-15,28
1891-03-18,1891-08-25,160
1891-03-18,1891-04-14,27
1891-03-18,1891-04-14,27
1891-03-18,1891-08-25,160
1891-03-18,1891-08-08,143
1891-03-18,1891-08-25,160
1891-03-18,1891-08-25,160
1891-03-19,1891-08-25,159
1891-03-18,1891-08-25,160
1891-03-18,1891-08-25,160
1891-03-18,1891-04-15,28
1891-03-18,1891-04-14,27
1891-03-18,1891-08-25,160
1891-03-18,1891-04-21,34
1891-04-21,1891-08-08,109
1891-04-21,1891-04-24,3
1891-04-21,1891-08-08,109
1891-04-21,1891-08-08,109
1891-03-18,1891-08-08,143
1891-04-21,1891-08-25,126
1891-04-21,1891-04-24,3
1891-03-18,1891-05-02,45
1891-04-21,1891-08-23,124
1891-03-18,1891-04-25,38
1891-08-15,1891-08-25,10
1891-07-09,1891-08-25,47
1891-07-09,1891-08-23,45
1891-08-15,1891-08-25,10
1891-8-28,1891-11-2,66
1891-08-15,1891-08-25,10
1891-08-15,1891-08-25,10
1891-8-28,1891-11-2,66
1891-08-15,1891-08-25,10
1891-8-28,1891-11-2,66
1891-8-28,1891-11-2,66
1891-8-28,1891-11-2,66
1891-8-28,1891-11-2,66
1891-8-28,1891-11-2,66
1891-8-28,1891-11-2,66
1891-8-28,1891-11-2,66
1891-8-28,1891-11-2,66
1891-8-28,1891-11-2,66
1891-8-28,1891-11-2,66
1891-8-28,1891-11-2,66
1891-8-28,1891-11-2,66
1891-8-28,1891-11-2,66
1891-8-28,1891-10-14,47
1891-8-28,1891-11-2,66
1891-8-28,1891-11-2,66
1891-8-28,1891-11-2,66
1891-8-28,1891-11-2,66
1891-8-28,1891-11-2,66
1891-8-28,1891-11-2,66
1891-11-12,1892-01-11,60
1891-11-12,1892-01-11,60
1891-11-12,1892-01-11,60
1891-11-12,1892-01-11,60
1891-11-12,1892-01-11,60
1891-11-12,1892-01-11,60
1891-11-12,1892-01-10,59
1891-11-12,1892-01-10,59
1891-11-12,1892-01-10,59
1891-11-12,1892-01-10,59
1891-11-12,1892-01-10,59
1891-11-12,1892-01-11,60
1891-11-12,1892-01-11,60
1891-11-12,1892-01-11,60
1891-11-12,1892-01-11,60
1891-11-12,1892-01-11,60
1891-11-12,1892-01-10,59
1891-11-14,1892-01-11,58
1891-11-12,1892-01-10,59
1891-11-12,1892-01-11,60
1892-01-12,1892-03-06,54
1891-11-12,1892-01-04,53
1892-01-13,1892-03-06,53
1892-01-12,1892-03-06,54
1892-01-12,1892-03-06,54
1892-01-13,1892-03-06,53
1892-01-12,1892-03-06,54
1892-01-13,1892-03-06,53
1892-01-13,1892-03-06,53
1892-01-13,1892-03-06,53
1892-01-12,1892-03-06,54
1892-01-13,1892-03-06,53
1892-01-13,1892-03-06,53
1892-01-13,1892-03-06,53
1892-01-12,1892-03-05,53
1892-01-13,1892-03-05,52
1892-01-12,1892-03-05,53
1892-01-13,1892-03-06,53
1892-04-08,1892-08-10,124
1892-04-08,1892-08-10,124
1892-04-08,1892-07-28,111
1892-04-08,1892-08-10,124
1892-04-08,1892-07-28,111
1892-04-08,1892-08-01,115
1892-04-08,1892-08-10,124
1892-04-08,1892-08-10,124
1892-04-08,1892-04-09,1
1892-04-09,1892-08-10,123
1892-04-08,1892-08-10,124
1892-04-08,1892-08-10,124
1892-04-08,1892-08-10,124
1892-04-08,1892-08-10,124
