joined,left,difference
1876-06-27,1876-06-30,3
1876-06-27,1876-11-01,127
1877-02-19,1877-04-04,44
1877-02-19,1877-04-04,44
1877-02-19,1877-04-04,44
1877-06-19,1877-06-19,0
1877-06-19,1877-06-30,11
1877-06-19,1877-06-30,11
1877-06-19,1877-06-30,11
1877-10-09,1877-12-31,83
1877-10-09,1877-12-31,83
1877-07-02,1877-10-08,98
1877-10-09,1877-12-31,83
1877-07-02,1877-10-08,98
1877-10-09,1877-12-31,83
1877-07-02,1877-10-08,98
1878-02-28,1878-06-07,99
1878-03-04,1878-06-07,95
1878-02-28,1878-06-07,99
1878-02-28,1878-06-07,99
1878-06-22,1878-10-01,101
1878-06-24,1878-10-01,99
1878-02-28,1878-06-07,99
1878-06-22,1878-10-01,101
1878-06-22,1878-10-01,101
1879-04-21,1879-08-29,130
1878-06-22,1878-10-01,101
1879-04-22,1879-05-25,33
1879-04-21,1879-08-29,130
1879-04-21,1879-09-03,135
1878-06-22,1878-10-01,101
1879-09-04,1879-11-01,58
1879-10-28,1879-12-31,64
1879-11-07,1879-12-31,54
1879-09-08,1879-10-16,38
1879-09-04,1879-10-16,42
1879-09-17,1879-10-22,35
1879-04-25,1879-08-29,126
1879-09-04,1879-12-31,118
1879-10-31,1879-11-10,10
1879-11-03,1879-12-31,58
1882-07-04,1882-10-26,114
1882-04-18,1882-06-23,66
1879-11-11,1879-12-31,50
1882-04-18,1882-06-23,66
1882-04-18,1882-06-23,66
1882-04-18,1882-06-23,66
1882-07-04,1882-09-30,88
1882-07-04,1882-10-20,108
1882-09-01,1882-09-30,29
1882-07-04,1882-07-29,25
1882-07-04,1882-09-30,88
1883-07-01,1883-11-20,142
1883-07-01,1883-12-01,153
1864-10-22,1865-01-12,82
1864-10-10,1865-01-12,94
1864-10-20,1865-01-12,84
1864-10-22,1864-10-26,4
1864-10-22,1865-01-12,82
1889-07-20,1890-01-17,181
1889-01-13,1889-06-29,167
1889-07-20,1890-01-17,181
1889-01-13,1889-06-29,167
1889-01-13,1889-06-29,167
1889-07-20,1890-01-17,181
1892-01-06,1892-07-13,189
1892-01-06,1892-07-13,189
1892-01-06,1892-07-13,189
1892-01-06,1892-07-13,189
1893-01-06,1893-06-30,175
1893-01-06,1893-06-30,175
1893-07-04,1893-12-30,179
1893-07-04,1893-12-30,179
1893-07-04,1893-12-30,179
1893-01-06,1893-06-30,175
1893-01-06,1893-06-30,175
1893-07-04,1893-12-30,179
1896-01-09,1896-06-30,173
1896-01-09,1896-06-30,173
1896-01-09,1896-06-30,173
1896-01-09,1896-06-30,173
1897-01-01,1897-03-16,74
1897-01-01,1897-04-23,112
1897-07-01,1897-10-15,106
1897-07-01,1897-10-15,106
1898-07-08,1898-09-30,84
1898-01-01,1898-01-17,16
1899-01-02,1899-01-12,10
1899-01-06,1899-01-12,6
1899-01-20,1899-03-10,49
1899-01-02,1899-04-09,97
1899-02-28,1899-03-10,10
1899-01-20,1899-02-20,31
1899-08-02,1899-09-01,30
1866-02-07,1866-02-10,3
1866-02-07,1866-04-20,72
1866-02-07,1866-04-20,72
1866-02-07,1866-04-20,72
1866-02-17,1866-04-20,62
1866-05-25,1866-09-28,126
1866-05-25,1866-09-28,126
1866-02-07,1866-04-20,72
1866-05-25,1866-09-19,117
1866-05-25,1866-09-19,117
1866-10-19,1867-09-19,335
1866-10-19,1867-09-19,335
1866-05-25,1866-09-23,121
1866-10-19,1867-06-19,243
1866-10-19,1867-09-19,335
1866-10-19,1867-06-19,243
1899-07-03,1899-09-15,74
1900-01-09,1900-07-03,175
1900-01-09,1900-07-03,175
1900-01-09,1900-07-03,175
1900-01-09,1900-07-03,175
1901-07-01,1901-09-29,90
1902-01-01,1902-07-03,183
1902-01-01,1902-07-03,183
1902-01-01,1902-02-10,40
1902-01-01,1902-04-15,104
1901-07-01,1901-11-06,128
1901-09-23,1901-11-05,43
1902-04-16,1902-07-03,78
1902-01-30,1903-01-06,341
1902-01-30,1902-12-04,308
1902-01-30,1903-01-06,341
1902-01-30,1902-12-04,308
